data_medicao;precipitacao_total_mensal(mm);temperatura_maxima_media_mensal(°c);temperatura_media_compensada_mensal(°c);temperatura_minima_media_mensal(°c);umidade_relativa_do_ar_media_mensal(%);cidade;estado;casos;pop;year;month
2011-04-01;387,3;30,393333;26,113333;22,98;87,066667;fortaleza;CE;10183.0;2609716.0;2011;4
2011-04-01;98,7;27,506667;22,550667;19,027586;65,333333;belo_horizonte;MG;1354.0;2513451.0;2011;4
2011-04-01;144,4;29,636667;22,231333;16,443333;71,958333;divinopolis;MG;37.0;232945.0;2011;4
2011-04-01;93,9;28,446667;22,732;18,406667;73,091667;maringa;PR;154.0;403063.0;2011;4
2011-04-01;164,5;31,91;26,592;23,66;75,066667;rio_de_janeiro;RJ;24372.0;6498837.0;2011;4
2011-04-01;108,2;24,026667;18,569333;15,266667;82,141667;curitiba;PR;92.0;1893997.0;2011;4
2011-04-01;384;29,766667;25,742;22,96;79,9;vitoria;ES;2142.0;359555.0;2011;4
2011-04-01;71,7;26,056667;19,440667;15,5;84,191667;barbacena;MG;6.0;135829.0;2011;4
2011-05-01;5;25,664516;20,50129;16,780645;61,887097;belo_horizonte;MG;1142.0;2513451.0;2011;5
2011-05-01;7,6;27,467742;19,096129;12,803226;71,66129;divinopolis;MG;41.0;232945.0;2011;5
2011-05-01;8,7;23,319355;16,143226;11,583871;84,322581;barbacena;MG;3.0;135829.0;2011;5
2011-05-01;118,1;27,496774;22,743226;20,016129;77,266129;rio_de_janeiro;RJ;19241.0;6498837.0;2011;5
2011-05-01;33,6;20,412903;14,775484;11,409677;82,346774;curitiba;PR;63.0;1893997.0;2011;5
2011-05-01;160;31,048387;26,670323;23,426667;83,403226;fortaleza;CE;6861.0;2609716.0;2011;5
2011-05-01;72,3;27,883871;23,534194;20,522581;74,379032;vitoria;ES;2888.0;359555.0;2011;5
2011-05-01;11,2;25,506452;19,394194;14,319355;68,346774;maringa;PR;80.0;403063.0;2011;5
2011-06-01;32,7;26,966667;21,638;18,353333;76,841667;rio_de_janeiro;RJ;4359.0;6498837.0;2011;6
2011-06-01;37,2;22,543333;14,742667;9,63;82,733333;barbacena;MG;2.0;135829.0;2011;6
2011-06-01;14,6;24,906667;19,204667;15,15;60,983333;belo_horizonte;MG;370.0;2513451.0;2011;6
2011-06-01;38,4;26,453333;22,328;19,546667;76,533333;vitoria;ES;912.0;359555.0;2011;6
2011-06-01;135,9;23,366667;17,168667;12,24;69,15;maringa;PR;17.0;403063.0;2011;6
2011-06-01;21,6;26,166667;17,217333;10,213333;69,283333;divinopolis;MG;10.0;232945.0;2011;6
2011-06-01;141,4;30,893333;26,34;22,656667;79,983333;fortaleza;CE;1993.0;2609716.0;2011;6
2011-06-01;108,8;19,203333;12,666;7,926667;80,608333;curitiba;PR;27.0;1893997.0;2011;6
2011-07-01;153,6;25,251613;19,198065;14,645161;67,620968;maringa;PR;23.0;403063.0;2011;7
2011-07-01;123,2;30,845161;26,026452;22,206452;78,741935;fortaleza;CE;1052.0;2609716.0;2011;7
2011-07-01;0;27,212903;17,876774;10,109677;61,008065;divinopolis;MG;18.0;232945.0;2011;7
2011-07-01;7,2;23,941935;15,577419;9,351613;76,846774;barbacena;MG;0.0;135829.0;2011;7
2011-07-01;16,1;27,348387;21,842581;18,5;74,266129;rio_de_janeiro;RJ;1577.0;6498837.0;2011;7
2011-07-01;147,1;20,025806;14,132903;10,135484;83,217742;curitiba;PR;23.0;1893997.0;2011;7
2011-07-01;0;25,509677;19,576129;14,929032;55,564516;belo_horizonte;MG;358.0;2513451.0;2011;7
2011-07-01;30,5;26,903226;22,307742;19,045161;75,669355;vitoria;ES;445.0;359555.0;2011;7
2011-08-01;4,6;26,451613;17,810968;11,454839;68,782258;barbacena;MG;0.0;135829.0;2011;8
2011-08-01;24,4;31,535484;26,492258;22,306452;73,491935;fortaleza;CE;556.0;2609716.0;2011;8
2011-08-01;0;28,541935;21,957419;16,893548;48,653226;belo_horizonte;MG;259.0;2513451.0;2011;8
2011-08-01;260,9;20,419355;14,573548;10,583871;79,782258;curitiba;PR;12.0;1893997.0;2011;8
2011-08-01;9,3;28,916129;23,148387;19,596774;70,370968;rio_de_janeiro;RJ;703.0;6498837.0;2011;8
2011-08-01;13,4;28,158065;23,12129;19,964516;74,919355;vitoria;ES;209.0;359555.0;2011;8
2011-08-01;41;26,796774;20,26;15,054839;60,41129;maringa;PR;33.0;403063.0;2011;8
2011-08-01;,6;30,590323;21,044516;12,19;48,620968;divinopolis;MG;13.0;232945.0;2011;8
2011-09-01;1,4;27,953333;21,502;16,45;47,85;belo_horizonte;MG;285.0;2513451.0;2011;9
2011-09-01;40,8;27,3;22,177333;18,813333;69,833333;rio_de_janeiro;RJ;662.0;6498837.0;2011;9
2011-09-01;1,1;30,793333;21,536667;12,836667;44,566667;divinopolis;MG;8.0;232945.0;2011;9
2011-09-01;29,7;29,646667;22,224667;15,756667;55;maringa;PR;48.0;403063.0;2011;9
2011-09-01;0;32,166667;26,828667;22,513333;71,308333;fortaleza;CE;434.0;2609716.0;2011;9
2011-09-01;11,5;25,906667;17,461333;11,186667;66,883333;barbacena;MG;0.0;135829.0;2011;9
2011-09-01;59,9;21,4;14,89;10,703333;79,225;curitiba;PR;17.0;1893997.0;2011;9
2011-09-01;31,2;26,88;22,496667;19,59;71,341667;vitoria;ES;137.0;359555.0;2011;9
2011-10-01;191,9;23,206452;17,382581;13,916129;81,403226;curitiba;PR;35.0;1893997.0;2011;10
